algoritmo,tipo_caso,n,tiempo_medio,tiempo_mediana,tiempo_std,tiempo_min,tiempo_max,operaciones_moda,memoria_media
fuerza_bruta,mejor,5,6.599999323952943e-06,6.499998562503606e-06,3.6742130850156005e-07,6.200003554113209e-06,7.199996616691351e-06,4,0.359375
fuerza_bruta,mejor,6,6.120000034570694e-06,6.200003554113209e-06,3.3466351516896163e-07,5.599998985417187e-06,6.399997801054269e-06,5,0.375
fuerza_bruta,mejor,7,1.436000020476058e-05,1.049999991664663e-05,1.1575531670739991e-05,6.000002031214535e-06,3.4699995012488216e-05,6,0.421875
fuerza_bruta,mejor,8,4.243999865138731e-05,9.499999578110874e-06,7.371253866601746e-05,9.099996532313526e-06,0.0001743000029819,7,0.4375
fuerza_bruta,mejor,9,1.9380000594537705e-05,9.2999980552122e-06,1.5105860211176755e-05,7.599999662488699e-06,3.9999998989515007e-05,8,0.484375
fuerza_bruta,mejor,10,2.632000105222687e-05,1.290000363951549e-05,2.1519801310196167e-05,8.000002708286047e-06,5.089999467600137e-05,9,0.5
fuerza_bruta,mejor,11,1.1639999866019934e-05,9.60000033956021e-06,3.0303475839391943e-06,9.399998816661537e-06,1.5700003132224083e-05,10,0.546875
fuerza_bruta,peor,4,2.92200013063848e-05,2.149999636458233e-05,1.6170870882679742e-05,2.010000025620684e-05,5.790000432170928e-05,42,0.3046875
fuerza_bruta,peor,5,8.562000148231164e-05,8.750000415602699e-05,6.497078601640842e-06,7.439999899361283e-05,9.06000059330836e-05,192,0.3359375
fuerza_bruta,peor,6,0.00061066000198474,0.0005382000017561,0.0001811985030689479,0.0005080000046291,0.0009325999999418,1440,0.3515625
fuerza_bruta,peor,7,0.004880980002053481,0.0041073000029427,0.0019655316570040705,0.0034544000009191,0.0081560000035096,9360,0.5099609375
fuerza_bruta,peor,8,0.036274320002121344,0.0392993000059505,0.00544979924571919,0.0296462000042083,0.0408554000023286,83520,0.3984375
